Year,Farm ,HarvestDate,Type,Cultivar,PostharvestStage,Replication,DefectFree,Compression,Pucture,TSS,pH,TA,Weight,Final Shelf Life (weeks),PercentChangeDefectFree,Final Shelf Life (Days)
2015,Alapaha,5/1/2015,Southern highbush,Suziblue,3,1,80,0.2822,0.21,9.5,3.4,0.2,2.28,1,-0.289333333,9.872659176
2015,Alapaha,5/1/2015,Southern highbush,Suziblue,3,2,73.3,0.281,0.2173,9.1,3.4,0.2,1.98,1,-0.289333333,9.872659176
2015,Alapaha,5/1/2015,Southern highbush,Suziblue,3,3,76.7,0.2643,0.2378,9.6,3.4,0.09,2.22,1,-0.289333333,9.872659176
2015,Alapaha,5/1/2015,Southern highbush,Suziblue,3,4,70,0.2728,0.2433,10.4,3.4,0.2,2.01,1,-0.289333333,9.872659176
2015,Alapaha,5/21/2015,Southern highbush,Legacy,3,1,83.3,0.2043,0.1915,12.5,3.7,0.5,1.91,0.5,-0.408518877,5.124463519
2015,Alapaha,5/21/2015,Southern highbush,Legacy,3,2,90,0.2022,0.1916,12.7,3.9,0.47,1.81,0.5,-0.408518877,5.124463519
2015,Alapaha,5/21/2015,Southern highbush,Legacy,3,3,73.3,0.2253,0.1853,12.1,3.1,0.45,1.96,0.5,-0.408518877,5.124463519
2015,Alapaha,5/21/2015,Southern highbush,Legacy,3,4,63.3,0.216,0.1801,13,3.7,0.53,2.15,0.5,-0.408518877,5.124463519
2015,Alapaha,5/1/2015,Southern highbush,Star,3,1,70,0.2496,0.1969,9.6,3.4,0.2,1.7,0,-0.518181818,0
2015,Alapaha,5/1/2015,Southern highbush,Star,3,2,65.4,0.2363,0.1789,10.7,3.4,0.2,1.79,0,-0.518181818,0
2015,Alapaha,5/1/2015,Southern highbush,Star,3,3,43.3,0.2138,0.1751,10.2,3.4,0.2,1.6,0,-0.518181818,0
2015,Alapaha,5/1/2015,Southern highbush,Star,3,4,63.3,0.2233,0.1894,9.8,3.3,0.2,1.49,0,-0.518181818,0
2015,Alapaha,5/1/2015,Southern highbush,Rebel,3,1,66.7,0.2154,0.1566,8.9,3.4,0.2,1.83,0,-0.699686766,0
2015,Alapaha,5/1/2015,Southern highbush,Rebel,3,2,62.1,0.2186,0.1553,8.6,3.4,0.09,1.63,0,-0.699686766,0
2015,Alapaha,5/1/2015,Southern highbush,Rebel,3,3,53.3,0.2129,0.1552,8.5,3.34,0.2,1.88,0,-0.699686766,0
2015,Alapaha,5/1/2015,Southern highbush,Rebel,3,4,73.3,0.2317,0.1613,8.6,3.3,0.2,1.85,0,-0.699686766,0
2015,Alapaha,6/28/2015,Rabbiteye,Vernon,3,1,73.3,0.2517,0.162,13.9,3.6,0.46,1.97,0.5,-0.340586878,3.381944444
2015,Alapaha,6/28/2015,Rabbiteye,Vernon,3,2,76.7,0.245,0.1748,14.1,3.6,0.43,2.04,0.5,-0.340586878,3.381944444
2015,Alapaha,6/28/2015,Rabbiteye,Vernon,3,3,73.3,0.2484,0.147,13.4,3.5,0.46,2.17,0.5,-0.340586878,3.381944444
2015,Alapaha,6/28/2015,Rabbiteye,Vernon,3,4,80,0.2667,0.1538,12.9,3.4,0.63,1.9,0.5,-0.340586878,3.381944444
2015,Alapaha,6/28/2015,Rabbiteye,Titan,3,1,56.7,0.3335,0.1883,12.6,3.4,0.63,2.89,0,-0.485222761,0
2015,Alapaha,6/28/2015,Rabbiteye,Titan,3,2,50,0.3249,0.1767,13.7,3.5,0.55,2.98,0,-0.485222761,0
2015,Alapaha,6/28/2015,Rabbiteye,Titan,3,3,53.3,0.3032,0.1908,13.8,3.5,0.58,2.96,0,-0.485222761,0
2015,Alapaha,6/28/2015,Rabbiteye,Titan,3,4,66.7,0.3219,0.1917,14.1,3.5,0.53,2.87,0,-0.485222761,0
2015,Alapaha,6/2/2015,Rabbiteye,Premier,3,1,73.3,0.1669,0.1299,14.7,3.5,0.25,2.23,0.5,-0.696663296,0.537313433
2015,Alapaha,6/2/2015,Rabbiteye,Premier,3,2,60,0.1819,0.1349,13.6,3.6,0.31,2.17,0.5,-0.696663296,0.537313433
2015,Alapaha,6/2/2015,Rabbiteye,Premier,3,3,76.7,0.1805,0.1316,14.1,3.5,0.33,2.07,0.5,-0.696663296,0.537313433
2015,Alapaha,6/2/2015,Rabbiteye,Premier,3,4,86.7,0.1874,0.1264,14.5,3.5,0.32,2.12,0.5,-0.696663296,0.537313433
2015,Alapaha,6/16/2015,Rabbiteye,Powderblue,3,1,53.3,0.1953,0.1547,16,3.7,0.39,1.76,0,-0.578947368,0
2015,Alapaha,6/16/2015,Rabbiteye,Powderblue,3,2,46.7,0.2058,0.1424,15.6,3.6,0.42,1.49,0,-0.578947368,0
