Year,Farm ,HarvestDate,Type,Cultivar,PostharvestStage,DefectFree,Compression,Pucture,TSS,pH,TA,Weight,Final Shelf Life (weeks),PercentChangeShelfLife
2015,Alapaha,42125,Southern highbush,Suziblue,3,75,0.275083333,0.227083333,9.65,#DIV/0!,#DIV/0!,2.122675,1,-0.29
2015,Alapaha,42145,Southern highbush,Legacy,3,77.475,0.2119375,0.187125,12.575,3.6,0.487021278,1.959125,0.5,-0.41
2015,Alapaha,42125,Southern highbush,Star,3,60.5,0.230770833,0.185083333,10.075,#DIV/0!,#DIV/0!,1.64318775,0,-0.52
2015,Alapaha,42125,Southern highbush,Rebel,3,63.85,0.219645833,0.157083333,8.65,#DIV/0!,#DIV/0!,1.79620825,0,-0.7
2015,Alapaha,42183,Rabbiteye,Vernon,3,75.825,0.2529375,0.159375,13.575,3.525,0.495,2.018125,0.5,-0.34
2015,Alapaha,42183,Rabbiteye,Titan,3,56.675,0.320875,0.186854167,13.55,3.475,0.5725,2.92625,0,-0.49
2015,Alapaha,42157,Rabbiteye,Premier,3,74.175,0.1791875,0.130708333,14.225,3.525,0.3025,2.147875,0.5,-0.7
2015,Alapaha,42171,Rabbiteye,Powderblue,3,47.5,0.1955,0.154020833,15.675,3.625,0.4125,1.6065,0,-0.58
2016,Alapaha,42492,Southern highbush,Suziblue,3,91.66666667,0.266625,0.20325,10.925,3.65,0.325,2.243375,4,-0.45
2016,Alapaha,42492,Southern highbush,Rebel,3,93.33333333,0.2219375,0.1545,11.7,3.975,0.21,2.171,3,-0.42
2016,Alapaha,42492,Southern highbush,Miss Alice Mae,3,94.16666667,0.262458333,0.194291667,11.575,3.575,0.31,2.223625,6,-0.21
2016,Alapaha,42492,Southern highbush,Miss Jackie,3,97.5,0.215291667,0.2348125,12.025,3.5,0.83,1.65905,6,-0.26
2016,Alapaha,42497,Southern highbush,Miss Lilly,3,98.33333333,0.262020833,0.1801875,11.525,3.7,0.485,2.36905,6,-0.27
2016,Alapaha,42531,Rabbiteye,Krewer,3,90.83333333,0.248395833,0.173854167,13.95,3.775,0.2475,2.83582375,2.5,0
2016,Alapaha,42531,Rabbiteye,Premier,3,90,0.168291667,0.122166667,14.65,3.65,0.29,2.3126575,2,-0.62
2016,Alapaha,42531,Rabbiteye,Titan,3,91.66666667,0.290583333,0.166520833,12.025,3.4,0.44,3.03972125,2,-0.52
2017,Manor,42853,Southern highbush,Farthing,4,99.16666667,0.292666667,0.154666667,12.75,3.425,0.46,1.951702381,7,-0.16
2017,Manor,42853,Southern highbush,Rebel,4,99.16666667,0.2346875,0.135708333,14.575,3.75,0.295,1.797702381,7,-0.15
2017,Manor,42853,Southern highbush,Emerald,4,93.33333333,0.226416667,0.125395833,14.4,3.3,0.765,1.951702381,3,-0.33
2017,Manor,42858,Southern highbush,Miss Lilly,5,99.16666667,0.247416667,0.137166667,11.1,3.6,0.38,2.3828875,7,-0.13
2017,Manor,42858,Southern highbush,Miss Jackie,5,98.33333333,0.213895833,0.170395833,13.05,3.5,0.645,1.7211,5.5,-0.44
2017,Manor,42858,Southern highbush,Miss Alice Mae,5,95.83333333,0.263604167,0.157083333,14.875,3.85,0.26,1.883725,3,-0.47
2017,Manor,42858,Southern highbush,Suziblue,5,97.5,0.2595,0.177729167,10.875,3.525,0.445,2.018,7,-0.21
2017,Manor,42887,Rabbiteye,Krewer,4,92.5,0.214645833,0.127104167,15.55,3.8,0.24,2.916375,2,-0.68
2017,Manor,42887,Rabbiteye,Alapaha,4,81.66666667,0.193833333,0.123583333,14.1,3.425,0.3375,1.0194875,3,-0.38
2017,Manor,42887,Rabbiteye,Titan,4,90.83333333,0.2605625,0.140520833,14.8,3.575,0.29,3.2199375,2.5,-0.4
2017,Manor,42887,Rabbiteye,Brightwell,4,100,0.256229167,0.156083333,14.725,3.525,0.2775,1.4266,4.5,-0.34
2018,Manor,43220,Southern highbush,Emerald,3,99.16666667,0.247520833,0.145333333,13.425,3.39475,0.8035,2.209275,6.5,-0.15
2018,Manor,43220,Southern highbush,Miss Alice Mae,3,97.5,0.269541667,0.161583333,13.075,3.74825,0.388,2.09675,3.5,-0.31
2018,Alapaha,43243,Southern highbush,Miss Jackie,2,96.66666667,0.183194444,0.169694444,15.03333333,3.817,0.341333333,1.980166667,2,-0.54
2018,Alapaha,43243,Southern highbush,Miss Lilly,2,96.66666667,0.22525,0.157479167,13.875,4.035,0.207,2.624575,2.5,-0.29
2018,Manor,43220,Southern highbush,Rebel,3,100,0.2394375,0.158229167,14.675,3.767,0.347,1.8863625,6.5,-0.11
2018,Alapaha,43243,Southern highbush,Suziblue,2,90.83333333,0.2431875,0.182270833,15.7,4.145,0.187,2.0957125,1,-0.4
2018,Alapaha,43265,Rabbiteye,Alapaha,4,86.66666667,0.18125,0.122708333,15.625,3.72975,0.2055,1.3879375,2,-0.33
2018,Alapaha,43265,Rabbiteye,Brightwell,4,95,0.228604167,0.124958333,15.425,3.60875,0.293,1.538575,4.5,-0.2
2018,Alapaha,43265,Rabbiteye,Krewer,4,89.16666667,0.167854167,0.109291667,14.8,3.61125,0.237,2.9644375,2,-0.36
2018,Alapaha,43265,Rabbiteye,Titan,4,86.66666667,0.225645833,0.118854167,13.175,3.42225,0.329,3.130075,2,-0.34
